编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,月销售额,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
28,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao足佳大码女鞋"，"点我对话"),足佳大码女鞋,舶特唯尔直销店,,,,,https://shop60652339.taobao.com,,,0,北京,马丁靴女,,4.86284分,33.10%,4.88836分,32.13%,4.90909分,42.49%,,,,,,,,,,
29,北京斯耐特科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao惠特丽旗舰店"，"点我对话"),惠特丽旗舰店,惠特丽旗舰店,,,,,https://shop114689211.taobao.com,,,217744.00,北京,马丁靴女,,4.94353分,55.60%,4.93147分,59.35%,4.94134分,63.24%,,,,,,,,,,
30,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaofashionboy_2010"，"点我对话"),fashionboy_2010,点靓时尚,,,,,https://shop63758398.taobao.com,,,4202.00,北京,马丁靴女,,4.84416,23.98%,4.8961,36.84%,4.90909分,42.49%,,,,,,,,,,
31,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao蓝色深海的鱼"，"点我对话"),蓝色深海的鱼,初心真皮手工女鞋,,,,,https://shop36726616.taobao.com,,,195676.00,北京,马丁靴女,,4.84355分,23.69%,4.86424分,17.47%,4.88406分,26.66%,,,,,,,,,,
32,北京昌恒皮具制作有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao凯萨罗帝旗舰店"，"点我对话"),凯萨罗帝旗舰店,凯萨罗帝旗舰店,,,,,https://shop162572877.taobao.com,,,417878.00,北京,马丁靴女,,4.89787分,19.69%,4.84894分,10.40%,4.89787分,36.01%,,,,,,,,,,
33,南宫市辰雪商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao森爱康旗舰店"，"点我对话"),森爱康旗舰店,森爱康旗舰店,,,,,https://shop212430806.taobao.com,,,8407.80,北京,马丁靴女,,5.0分,100%,4.98964分,93.85%,4.98964分,93.51%,,,,,,,,,,
34,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolvcheng1974"，"点我对话"),lvcheng1974,花开自在复古女鞋,,,,,https://shop64428987.taobao.com,,,126512.00,北京,马丁靴女,,4.79747分,1.15%,4.83966分,2.46%,4.84895分,4.37%,,,,,,,,,,
35,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoxuxuemei4370"，"点我对话"),xuxuemei4370,不差钱精品男女外贸鞋,,,,,https://shop65982681.taobao.com,,,17336.00,北京,马丁靴女,,4.83903分,21.48%,4.88314分,28.96%,4.89065分,30.83%,,,,,,,,,,
36,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao猫猫网卡"，"点我对话"),猫猫网卡,加菲猫的品质店,,,,,https://shop72128495.taobao.com,,,4294.00,北京,马丁靴女,,4.98571分,93.03%,5.0分,100.00%,4.98571分,90.96%,,,,,,,,,,
37,北京亿森智诚科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao亿森智诚服饰专营店"，"点我对话"),亿森智诚服饰专营店,亿森智诚服饰专营店,,,,,https://shop62026063.taobao.com,,,0,北京,马丁靴女,,4.88587分,10.27%,4.84601分,8.65%,4.87319分,20.53%,,,,,,,,,,
38,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao涂伟纯"，"点我对话"),涂伟纯,吴多涂少,,,,,https://shop162404722.taobao.com,,,2548.00,北京,马丁靴女,,4.87037分,36.73%,4.87037分,21.14%,4.87037分,17.93%,,,,,,,,,,
39,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao网购时代78123"，"点我对话"),网购时代78123,小资派小资派,,,,,https://shop71948612.taobao.com,,,0,北京,马丁靴女,,4.80945分,7.05%,4.8482分,7.72%,4.85881分,10.69%,,,,,,,,,,
40,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao天堂寨寨主"，"点我对话"),天堂寨寨主,天堂寨的女人,,,,,https://shop61098913.taobao.com,,,10630.00,北京,马丁靴女,,4.96087分,80.91%,4.96522分,78.86%,4.96377分,77.08%,,,,,,,,,,
41,郑州鑫帛业商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao佰莉足缘旗舰店"，"点我对话"),佰莉足缘旗舰店,佰莉足缘旗舰店,,,,,https://shop103502154.taobao.com,,,364192.00,北京,马丁靴女,,4.92253分,39.09%,4.90783分,45.32%,4.92437分,52.60%,,,,,,,,,,
42,杭州花兮服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao大素旗舰店"，"点我对话"),大素旗舰店,大素旗舰店,,,,,https://shop297884408.taobao.com,,,107097.00,北京,马丁靴女,,4.87982分,5.50%,4.89214分,36.03%,4.93837分,61.38%,,,,,,,,,,
43,郑州欣松贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao足伊轩欣松专卖店"，"点我对话"),足伊轩欣松专卖店,足伊轩欣松专卖店,4006970688,,,,https://shop68521638.taobao.com,,,0,北京,马丁靴女,,4.93084分,45.62%,4.93645分,62.30%,4.94953分,68.37%,,,,,,,,,,
44,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao吴金鱼88"，"点我对话"),吴金鱼88,荏苒Sue,,,,,https://shop124030525.taobao.com,,,13180.00,北京,马丁靴女,,4.8806分,41.76%,4.91045分,45.56%,4.91343分,45.24%,,,,,,,,,,
45,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao禾介昔子"，"点我对话"),禾介昔子,又麦提高端女鞋定制,,,,,https://shop70893967.taobao.com,,,27226.00,北京,马丁靴女,,4.87927分,41.07%,4.91339分,47.31%,4.90814分,41.84%,,,,,,,,,,
46,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao雨呗呗"，"点我对话"),雨呗呗,原创女鞋源头厂家,,18601036141,,,https://shop35990815.taobao.com,,,3904.00,北京,马丁靴女,,4.86667,34.92%,4.93333,59.44%,4.95分,68.34%,,,,,,,,,,
47,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao俏飞飞燕"，"点我对话"),俏飞飞燕,俏飞燕女鞋,,,,,https://shop127521323.taobao.com,,,89714.00,北京,马丁靴女,,4.64828分,-3.06%,4.68634分,-3.09%,4.72022分,-2.52%,,,,,,,,,,
48,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaokuai颠倒"，"点我对话"),kuai颠倒,雨 木 则 霖,,,,,https://shop100295877.taobao.com,,,11753.00,北京,马丁靴女,,4.87121,37.18%,4.87879,26.32%,4.95455分,71.25%,,,,,,,,,,
49,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao时尚靓丽俏女郎"，"点我对话"),时尚靓丽俏女郎,HXFABLEN设计师工厂店,,,,,https://shop72914172.taobao.com,,,106516.00,北京,马丁靴女,,4.78812分,0.15%,4.84885分,8.05%,4.86775分,16.27%,,,,,,,,,,
50,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao北京公馆"，"点我对话"),北京公馆,香港IT潮牌ZJRJ女装代,,,,,https://shop105546784.taobao.com,,,399825.00,北京,马丁靴女,,4.93902分,70.24%,4.95296分,71.38%,4.95732分,72.98%,,,,,,,,,,
51,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao相约足之旅"，"点我对话"),相约足之旅,相约足之旅南京店,,,13691041789,,https://shop37079009.taobao.com,,,1439.90,北京,马丁靴女,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
52,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoaomitou"，"点我对话"),aomitou,aomitou奥迈特鞋业,,,,,https://shop73090338.taobao.com,,,2716.00,北京,马丁靴女,,4.8125分,8.54%,4.75分,-1.77%,4.5625分,-5.77%,,,,,,,,,,
53,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaojinzuyuanxiedian"，"点我对话"),jinzuyuanxiedian,布足缘集市店,,,13260006720,,https://shop103411778.taobao.com,,,920993.00,北京,马丁靴女,,4.84055分,22.17%,4.8641分,17.33%,4.86952分,17.39%,,,,,,,,,,
54,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaottbaobei1121"，"点我对话"),ttbaobei1121,騳骉时尚鞋业,,,,,https://shop62867088.taobao.com,,,52400.00,北京,马丁靴女,,4.98929分,94.78%,4.99107分,94.57%,4.99196分,94.91%,,,,,,,,,,
55,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao心秀女鞋"，"点我对话"),心秀女鞋,心秀女鞋旗亮店,,,,,https://shop118153706.taobao.com,,,12337.00,北京,马丁靴女,,4.77169分,0.49%,4.81507分,0.42%,4.82648分,0.32%,,,,,,,,,,
56,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao个性百屋鞋店"，"点我对话"),个性百屋鞋店,个性百屋鞋店,,,,,https://shop35574162.taobao.com,,,1456.00,北京,马丁靴女,,4.95349分,77.31%,4.95349分,71.73%,4.90698分,41.16%,,,,,,,,,,
57,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoeiaimi依百媚品牌店"，"点我对话"),eiaimi依百媚品牌店,Eiaimi依百媚,,,,,https://shop108985119.taobao.com,,,28670.00,北京,马丁靴女,,4.85185,27.74%,4.85185,9.94%,4.96296分,76.57%,,,,,,,,,,
58,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb9544222"，"点我对话"),tb9544222,港行四季潮流店,,,,,https://shop101750478.taobao.com,,,162757.00,北京,马丁靴女,,4.95745,79.24%,4.97099,82.36%,4.97324分,83.07%,,,,,,,,,,
59,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoyangyongwenwu"，"点我对话"),yangyongwenwu,北京小魔女,,,,,https://shop70818098.taobao.com,,,1054.00,北京,马丁靴女,,4.63636分,-3.31%,4.63636分,-4.12%,4.72727分,-2.37%,,,,,,,,,,
60,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb8166845_11"，"点我对话"),tb8166845_11,欣欣鞋包直销,,,,,https://shop163217608.taobao.com,,,1636.00,北京,马丁靴女,,4.94737分,74.31%,4.92982分,57.31%,4.94737分,66.68%,,,,,,,,,,
61,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaosuckdarling"，"点我对话"),suckdarling,花米缸 中性实拍女装,,,,,https://shop34207667.taobao.com,,,5701.00,北京,马丁靴女,,4.89565分,49.10%,4.94348分,65.64%,4.93696分,60.12%,,,,,,,,,,
62,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao璐君文昊华"，"点我对话"),璐君文昊华,阳光一家FAMILY工厂直,,,,,https://shop124070013.taobao.com,,,1013.00,北京,马丁靴女,,4.84分,13.26%,4.84分,0.17%,4.72分,-2.74%,,,,,,,,,,
63,,三心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao好好运帅先生"，"点我对话"),好好运帅先生,好好运帅先生,,,,,https://shop300767595.taobao.com,,,2146.14,北京,马丁靴女,,4.46667,-8.57%,4.4,-10.20%,4.6分,-6.08%,,,,,,,,,,
64,清河县京睿服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao京睿鞋类专营店"，"点我对话"),京睿鞋类专营店,京睿鞋类专营店,,,,,https://shop100004327.taobao.com,,,1850188.00,北京,马丁靴女,,4.88964分,13.22%,4.86436分,19.55%,4.87016分,18.65%,,,,,,,,,,
65,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao红黄茉莉"，"点我对话"),红黄茉莉,百姓鞋业平价店,,,,,https://shop104002546.taobao.com,,,1448.00,北京,马丁靴女,,4.72444分,-1.47%,4.78667分,-1.01%,4.80444分,-0.77%,,,,,,,,,,
66,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao郝郝的68"，"点我对话"),郝郝的68,追蜜,,15010708623,,,https://shop100073285.taobao.com,,,153.54,北京,马丁靴女,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
67,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoawpgogogo"，"点我对话"),awpgogogo,英苏兰,13060586496,,,,https://shop61613242.taobao.com,,,16692.00,北京,马丁靴女,,4.82568分,14.92%,4.87397分,23.33%,4.87279分,19.46%,,,,,,,,,,
68,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao东莞鞋服7467"，"点我对话"),东莞鞋服7467,奢侈品搬运工,,,,,https://shop131050414.taobao.com,,,26155.00,北京,马丁靴女,,4.86466分,33.94%,4.8797分,26.82%,4.89474分,33.36%,,,,,,,,,,
69,常熟派莎服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao法贝珂旗舰店"，"点我对话"),法贝珂旗舰店,法贝珂旗舰店,,,,,https://shop485349261.taobao.com,,,25116.00,北京,马丁靴女,,4.88889分,12.63%,4.91667分,50.58%,4.94444分,65.19%,,,,,,,,,,
70,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao小琪琪美鞋坊"，"点我对话"),小琪琪美鞋坊,小琪琪美鞋坊,,,,,https://shop107819691.taobao.com,,,1670.00,北京,马丁靴女,,3.66667,-23.53%,3.66667,-24.17%,3.7619分,-22.31%,,,,,,,,,,
71,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao晟睿丰电子商务"，"点我对话"),晟睿丰电子商务,晟睿丰电子商务,,,,,https://shop222562287.taobao.com,,,23513.40,北京,马丁靴女,,4.67625,-2.48%,4.70651,-2.67%,4.70303分,-2.87%,,,,,,,,,,
72,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao平步青云8868"，"点我对话"),平步青云8868,千禧老北京布鞋平价店,,,,,https://shop107374521.taobao.com,,,42794.00,北京,马丁靴女,,4.81326分,8.91%,4.84284分,4.46%,4.86371分,13.79%,,,,,,,,,,
73,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao开城里8号"，"点我对话"),开城里8号,休闲真皮女鞋店,,,,,https://shop63805391.taobao.com,,,1955.00,北京,马丁靴女,,4.66102分,-2.79%,4.74576分,-1.86%,4.76271分,-1.64%,,,,,,,,,,
74,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao苦逼汉子"，"点我对话"),苦逼汉子,精品e购 外贸店,,,,,https://shop107308225.taobao.com,,,6728.00,北京,马丁靴女,,4.83607分,20.04%,4.86885分,20.27%,4.85246分,6.67%,,,,,,,,,,
75,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao沈记私家果园"，"点我对话"),沈记私家果园,果园的代销点,,,,,https://shop135890396.taobao.com,,,1852.56,北京,马丁靴女,,4.64979分,-3.03%,4.69261分,-2.96%,4.70078分,-2.91%,,,,,,,,,,
76,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao无敌瑞宝百货店"，"点我对话"),无敌瑞宝百货店,d[s281506643],,,,,https://shop281506643.taobao.com,,,21594.40,北京,马丁靴女,,4.65249分,-3.34%,4.69503分,-3.09%,4.71963分,-2.68%,,,,,,,,,,
77,泉州速走贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao碧波貘旗舰店"，"点我对话"),碧波貘旗舰店,碧波貘旗舰店,,,,,https://shop167853126.taobao.com,,,3945.76,北京,马丁靴女,,4.85405分,0%,4.79189分,0.82%,4.79189分,1.00%,,,,,,,,,,
78,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao诚信家电批发部"，"点我对话"),诚信家电批发部,诚信鞋城老北京鞋店,,,,,https://shop58221691.taobao.com,,,0,北京,马丁靴女,,4.83498分,19.46%,4.85496分,11.77%,4.86888分,16.99%,,,,,,,,,,
79,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao北京圆豆"，"点我对话"),北京圆豆,北京圆豆潮流女鞋馆,,,,,https://shop33178838.taobao.com,,,891.90,北京,马丁靴女,,4.72分,-1.56%,4.68分,-3.22%,4.92分,49.40%,,,,,,,,,,
80,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao团宝店铺"，"点我对话"),团宝店铺,团宝店铺,,,,,https://shop69692970.taobao.com,,,13559.09,北京,马丁靴女,,4.62912分,-5.25%,4.67573分,-4.58%,4.70109分,-4.02%,,,,,,,,,,
81,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao吴美华8206"，"点我对话"),吴美华8206,星期天小铺889,,,,,https://shop305232657.taobao.com,,,3118.10,北京,马丁靴女,,4.70339分,-3.73%,4.71186分,-3.84%,4.82203分,-1.55%,,,,,,,,,,
82,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolonglong北京大学"，"点我对话"),longlong北京大学,彤彤女鞋专业店,,,,,https://shop58485458.taobao.com,,,14731.00,北京,马丁靴女,,4.78806分,0.15%,4.83781分,1.33%,4.86071分,11.81%,,,,,,,,,,
83,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaozhuchangh7888"，"点我对话"),zhuchangh7888,一朵梅外贸鞋业,,,,,https://shop108096700.taobao.com,,,1182.50,北京,马丁靴女,,4.86486分,34.08%,4.91892分,50.71%,4.89189分,31.61%,,,,,,,,,,
84,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao齐安湖"，"点我对话"),齐安湖,鞋会爱美丽,,,,,https://shop145350311.taobao.com,,,51144.00,北京,马丁靴女,,4.70789分,-1.82%,4.77344分,-1.28%,4.78256分,-1.23%,,,,,,,,,,
85,北京畅八达科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao歌咏衣冠旗舰店"，"点我对话"),歌咏衣冠旗舰店,歌咏衣冠旗舰店,,,,,https://shop58968241.taobao.com,,,0,北京,马丁靴女,,4.93086分,45.64%,4.87138分,23.70%,4.88053分,25.13%,,,,,,,,,,
86,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoqq爱品牌店"，"点我对话"),qq爱品牌店,Q爱梦幻鞋坊,,,,,https://shop59933918.taobao.com,,,513.70,北京,马丁靴女,,4.83333分,18.65%,4.83333分,0.10%,4.83333分,0.18%,,,,,,,,,,
87,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao秀足一派168"，"点我对话"),秀足一派168,米娅时尚搭配,,,,,https://shop67985037.taobao.com,,,2978.00,北京,马丁靴女,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
88,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao链福阁"，"点我对话"),链福阁,链福福女士新品,,,,,https://shop108733748.taobao.com,,,17536.16,北京,马丁靴女,,4.44235分,-7.36%,4.54417分,-6.03%,4.58328分,-5.34%,,,,,,,,,,
