编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,月销售额,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
11,北京香樱服装销售有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao香樱旗舰店"，"点我对话"),香樱旗舰店,香樱旗舰店,,,,,https://shop112797651.taobao.com,,,4038688.00,北京,秋冬女装,,4.82974分,0.88%,4.71658分,2.38%,4.74176分,2.04%,,,,,,,,,,
12,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao世满之家"，"点我对话"),世满之家,世满服装城,,,,,https://shop116941285.taobao.com,,,53602.00,北京,秋冬女装,,4.71952分,-1.58%,4.77385分,-1.28%,4.8017分,-0.83%,,,,,,,,,,
13,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoqq364798875asdf"，"点我对话"),qq364798875asdf,厨依时尚,,,,,https://shop71363798.taobao.com,,,0,北京,秋冬女装,,4.85637分,29.90%,4.88786分,31.78%,4.88863分,29.49%,,,,,,,,,,
14,公主国度（北京）服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao公主国度旗舰店"，"点我对话"),公主国度旗舰店,公主国度旗舰店,,,,,https://shop349982533.taobao.com,,,38789212.00,北京,秋冬女装,,4.94251分,54.80%,4.9127分,48.21%,4.91608分,47.41%,,,,,,,,,,
15,清河县东超羊绒制品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao牧诗兰服饰旗舰店"，"点我对话"),牧诗兰服饰旗舰店,牧诗兰服饰旗舰店,,,,,https://shop112156631.taobao.com,,,6173624.00,北京,秋冬女装,,4.92364分,39.95%,4.91401分,49.00%,4.91787分,48.54%,,,,,,,,,,
16,北京赛斯特服装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao赛斯特女装旗舰店"，"点我对话"),赛斯特女装旗舰店,赛斯特女装旗舰店,,,,,https://shop101017797.taobao.com,,,229106.00,北京,秋冬女装,,4.95639分,65.71%,4.93657分,62.37%,4.94351分,64.60%,,,,,,,,,,
17,北京滨路商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao狐姿旗舰店"，"点我对话"),狐姿旗舰店,狐姿旗舰店,,,,,https://shop111320772.taobao.com,,,1262437.30,北京,秋冬女装,,4.88762分,11.64%,4.81077分,0%,4.82708分,0%,,,,,,,,,,
18,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaohuangwei0204"，"点我对话"),huangwei0204,衣廉优梦明星店铺,,,,,https://shop34084510.taobao.com,,,605668.00,北京,秋冬女装,,4.69037分,-2.18%,4.75519分,-1.66%,4.78134分,-1.25%,,,,,,,,,,
19,北京爱莉姿服装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao爱莉姿旗舰店"，"点我对话"),爱莉姿旗舰店,爱莉姿旗舰店,,,,,https://shop66267200.taobao.com,,,4785460.00,北京,秋冬女装,,4.89947分,20.95%,4.88183分,29.91%,4.89418分,33.70%,,,,,,,,,,
20,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao外贸精品服饰星店"，"点我对话"),外贸精品服饰星店,外贸精品服饰星店,,,,,https://shop67344294.taobao.com,,,109180.00,北京,秋冬女装,,4.91778分,59.87%,4.9522分,70.92%,4.9522分,69.74%,,,,,,,,,,
21,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao雨轩良品"，"点我对话"),雨轩良品,雨轩良品,,,,,https://shop68226579.taobao.com,,,39086.00,北京,秋冬女装,,4.82143分,12.90%,4.86301分,16.72%,4.86194分,12.67%,,,,,,,,,,
22,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao棍道55"，"点我对话"),棍道55,忻亞萱,,,,,https://shop71440354.taobao.com,,,407523.00,北京,秋冬女装,,4.78531分,0.20%,4.84775分,7.38%,4.85127分,5.84%,,,,,,,,,,
23,北京红英自由马服装服饰有限责任公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao红英旗舰店"，"点我对话"),红英旗舰店,红英旗舰店,,,,,https://shop102394835.taobao.com,,,375468.00,北京,秋冬女装,,4.92659分,42.27%,4.87168分,23.89%,4.87052分,18.87%,,,,,,,,,,
24,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaool小店"，"点我对话"),ol小店,ol精品店,,010-60341052,13146389473,,https://shop36886547.taobao.com,,,292161.00,北京,秋冬女装,,4.67455分,-2.51%,4.73668分,-2.05%,4.76847分,-1.52%,,,,,,,,,,
25,北京霓裳如景科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoaiw旗舰店"，"点我对话"),aiw旗舰店,aiw旗舰店,,,,,https://shop63185047.taobao.com,,,0,北京,秋冬女装,,4.91815分,35.65%,4.86147分,17.82%,4.87871分,23.98%,,,,,,,,,,
26,北京藜可萱时装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao藜墨旗舰店"，"点我对话"),藜墨旗舰店,藜墨旗舰店,,,,,https://shop73292408.taobao.com,,,0,北京,秋冬女装,,4.85122分,0%,4.82594分,0%,4.86863分,17.69%,,,,,,,,,,
27,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaokexingirl88"，"点我对话"),kexingirl88,可心原创小店,,,,,https://shop59975522.taobao.com,,,0,北京,秋冬女装,,4.78022,0.31%,4.81892,0.35%,4.83751分,0.10%,,,,,,,,,,
28,天津念奴娇服装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao娇鼎旗舰店"，"点我对话"),娇鼎旗舰店,娇鼎旗舰店,,,,,https://shop100828765.taobao.com,,,3124821.00,北京,秋冬女装,,4.95672分,65.97%,4.952分,71.53%,4.95526分,71.96%,,,,,,,,,,
29,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaowushengliang000"，"点我对话"),wushengliang000,莎拉女人,,13718559540,13718559540,,https://shop71879076.taobao.com,,,71664.00,北京,秋冬女装,,4.85165分,27.64%,4.87912分,26.52%,4.89011分,30.49%,,,,,,,,,,
30,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao简依装店铺"，"点我对话"),简依装店铺,八月格格,,,,,https://shop101327983.taobao.com,,,35016.00,北京,秋冬女装,,4.79501,0.10%,4.84115,3.43%,4.8646分,14.35%,,,,,,,,,,
31,济南猛虎丹宾部落商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao弗萱旗舰店"，"点我对话"),弗萱旗舰店,弗萱旗舰店,,,,,https://shop248240777.taobao.com,,,2752688.00,北京,秋冬女装,,4.94762分,58.82%,4.89638分,38.53%,4.89977分,37.18%,,,,,,,,,,
32,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao迷尚潮流服饰"，"点我对话"),迷尚潮流服饰,好模好样,,,,,https://shop71702796.taobao.com,,,44461.00,北京,秋冬女装,,4.66225分,-2.77%,4.69536分,-2.90%,4.66887分,-3.58%,,,,,,,,,,
33,朗姿股份有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao朗姿官方旗舰店"，"点我对话"),朗姿官方旗舰店,朗姿官方旗舰店,,,,,https://shop103568186.taobao.com,,,7654973.00,北京,秋冬女装,,4.92587分,41.72%,4.91071分,47.03%,4.93791分,61.09%,,,,,,,,,,
34,郑州迎曼服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao迎曼旗舰店"，"点我对话"),迎曼旗舰店,迎曼旗舰店,,,,,https://shop114503450.taobao.com,,,6362155.00,北京,秋冬女装,,4.86367分,0%,4.80807分,0%,4.81337分,0.56%,,,,,,,,,,
35,北京海兰丝服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao海兰丝旗舰店"，"点我对话"),海兰丝旗舰店,海兰丝旗舰店,,,,,https://shop70015480.taobao.com,,,0,北京,秋冬女装,,4.93458分,48.56%,4.91495分,49.56%,4.91822分,48.76%,,,,,,,,,,
36,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao小包子北"，"点我对话"),小包子北,优而美衣橱,13261266676,13261266676,13261266676,,https://shop109517945.taobao.com,,,0,北京,秋冬女装,,4.78785分,0.15%,4.81404分,0.45%,4.83447分,0.16%,,,,,,,,,,
37,北京依雪羽服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao佳雪利依雪羽专卖店"，"点我对话"),佳雪利依雪羽专卖店,佳雪利依雪羽专卖店,,,,,https://shop105362447.taobao.com,,,7226824.10,北京,秋冬女装,,4.92958分,44.63%,4.90493分,43.61%,4.87676分,22.78%,,,,,,,,,,
38,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao靓点点靓_2012"，"点我对话"),靓点点靓_2012,艾青女装,,,,,https://shop71378621.taobao.com,,,0,北京,秋冬女装,,4.81604,10.21%,4.87264,22.52%,4.87264分,19.37%,,,,,,,,,,
39,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao时尚韩版棉服"，"点我对话"),时尚韩版棉服,妞妞爱尚依,,,,,https://shop112672993.taobao.com,,,239948.00,北京,秋冬女装,,4.77651分,0.39%,4.83871分,1.88%,4.85807分,10.14%,,,,,,,,,,
40,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao喜羊羊绒纱店"，"点我对话"),喜羊羊绒纱店,博娜瑞亿,,,,,https://shop100426001.taobao.com,,,41490.00,北京,秋冬女装,,4.91463分,58.36%,4.96341分,77.76%,4.95732分,73.00%,,,,,,,,,,
41,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao樱花依秀我爱时尚"，"点我对话"),樱花依秀我爱时尚,恋宇店铺街 TB,,,,,https://shop35378275.taobao.com,,,107362.00,北京,秋冬女装,,4.83489分,19.46%,4.88199分,28.26%,4.88206分,25.40%,,,,,,,,,,
42,北京甘甘那服装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao甘甘的世界服饰旗舰店"，"点我对话"),甘甘的世界服饰旗舰店,甘甘的世界服饰旗舰店,,,,,https://shop70634920.taobao.com,,,14476493.00,北京,秋冬女装,,4.93682分,50.33%,4.89774分,39.34%,4.90262分,38.97%,,,,,,,,,,
43,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao始终如一恋"，"点我对话"),始终如一恋,淘 美特,,,,,https://shop101251954.taobao.com,,,76655.60,北京,秋冬女装,,4.76284分,-0.67%,4.79633分,-0.81%,4.8108分,-0.65%,,,,,,,,,,
44,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao鹿王折扣专柜888"，"点我对话"),鹿王折扣专柜888,高端羊绒工厂六店,,,,,https://shop101569539.taobao.com,,,319234.00,北京,秋冬女装,,4.90778分,55.02%,4.92222分,52.72%,4.92444分,52.20%,,,,,,,,,,
45,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoyikeshu122"，"点我对话"),yikeshu122,兰亭坊服饰,15810075895,,,,https://shop101473767.taobao.com,,,123428.00,北京,秋冬女装,,4.80069分,2.72%,4.8579分,13.55%,4.86865分,16.84%,,,,,,,,,,
46,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao可爱的你之爱裳尚衣社"，"点我对话"),可爱的你之爱裳尚衣社,默念时光 复古文艺女,,,15011242631,,https://shop104265542.taobao.com,,,84643.00,北京,秋冬女装,,4.85459分,29.03%,4.89601分,36.74%,4.91234分,44.50%,,,,,,,,,,
47,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao我是丽子_2011"，"点我对话"),我是丽子_2011,我是丽子,,,,,https://shop66654617.taobao.com,,,48570.00,北京,秋冬女装,,4.81828分,11.36%,4.85957分,14.63%,4.86702分,15.88%,,,,,,,,,,
48,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao登顶万事达99"，"点我对话"),登顶万事达99,四季服饰07,,,,,https://shop102684866.taobao.com,,,145996.00,北京,秋冬女装,,4.80668分,5.70%,4.85413分,11.33%,4.84007分,0.10%,,,,,,,,,,
49,北京雨熙冉服装服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao宜黛公主旗舰店"，"点我对话"),宜黛公主旗舰店,宜黛公主旗舰店,,,,,https://shop284440385.taobao.com,,,1719894.00,北京,秋冬女装,,4.88225分,7.42%,4.85887分,16.28%,4.88485分,27.83%,,,,,,,,,,
50,厦门佐藤贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao蔻娜丽姿旗舰店"，"点我对话"),蔻娜丽姿旗舰店,蔻娜丽姿旗舰店,,,,,https://shop342464656.taobao.com,,,0,北京,秋冬女装,,4.9229分,39.37%,4.91822分,51.49%,4.92991分,56.08%,,,,,,,,,,
51,朗姿股份有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolimeflare官方旗舰店"，"点我对话"),limeflare官方旗舰店,limeflare官方旗舰店,,,,,https://shop112437046.taobao.com,,,3076773.00,北京,秋冬女装,,4.89803分,19.83%,4.87546分,26.12%,4.92462分,52.76%,,,,,,,,,,
52,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaommtaobao13"，"点我对话"),mmtaobao13,名品服装新世界,,,18611600283,,https://shop102203586.taobao.com,,,620978.00,北京,秋冬女装,,4.80573分,5.18%,4.84381分,4.98%,4.85993分,11.32%,,,,,,,,,,
53,天津酷奔科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao酷奔鞋类专营店"，"点我对话"),酷奔鞋类专营店,酷奔鞋类专营店,,,,,https://shop102183224.taobao.com,,,703308.00,北京,秋冬女装,,4.87514分,1.83%,4.80941分,0%,4.81602分,0.50%,,,,,,,,,,
54,北京星诺商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao熙珍旗舰店"，"点我对话"),熙珍旗舰店,熙珍旗舰店,,,,,https://shop117801100.taobao.com,,,3054584.00,北京,秋冬女装,,4.92539分,41.33%,4.88135分,29.63%,4.9分,37.34%,,,,,,,,,,
55,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao爱与爱88"，"点我对话"),爱与爱88,爱与爱大码女装轻奢自,,,13141466463,,https://shop35248764.taobao.com,,,14446.00,北京,秋冬女装,,4.73577分,-1.24%,4.76829分,-1.39%,4.78049分,-1.27%,,,,,,,,,,
56,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao衣依不舍衣迷店"，"点我对话"),衣依不舍衣迷店,衣依不舍衣迷店,,,15611995299,,https://shop58441954.taobao.com,,,189886.00,北京,秋冬女装,,4.87022分,36.66%,4.90574分,42.66%,4.89071分,30.81%,,,,,,,,,,
57,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao鸿尚诚品"，"点我对话"),鸿尚诚品,雪中飞正品特卖店,,,,,https://shop66026734.taobao.com,,,34870.00,北京,秋冬女装,,4.9761,88.33%,4.97773,86.45%,4.98099分,87.96%,,,,,,,,,,
58,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao6565678ff"，"点我对话"),6565678ff,七彩衣服饰,,,,,https://shop103195474.taobao.com,,,12456.00,北京,秋冬女装,,4.81233分,8.40%,4.83043分,0.11%,4.84853分,4.10%,,,,,,,,,,
59,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao康帅服饰"，"点我对话"),康帅服饰,康帅服饰妈妈装,,010-87293043,13161713688,,https://shop36324952.taobao.com,,,0,北京,秋冬女装,,4.8573分,30.39%,4.88832分,32.11%,4.8907分,30.86%,,,,,,,,,,
60,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao伍海霞2011"，"点我对话"),伍海霞2011,北京嘉禾服饰,,,,,https://shop64867331.taobao.com,,,57016.00,北京,秋冬女装,,4.84173,22.80%,4.88369,29.29%,4.89089分,30.98%,,,,,,,,,,
61,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao流行前线1681"，"点我对话"),流行前线1681,雅鹿特卖店,,13522959528,13522959528,,https://shop36284715.taobao.com,,,0,北京,秋冬女装,,4.86056,31.94%,4.89865,38.34%,4.91134分,43.87%,,,,,,,,,,
62,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolingling091699"，"点我对话"),lingling091699,大富贵衣舍,,,,,https://shop125414402.taobao.com,,,121653.00,北京,秋冬女装,,4.83333分,18.65%,4.85714分,13.09%,4.86458分,14.26%,,,,,,,,,,
63,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao裤比寻常"，"点我对话"),裤比寻常,达达E族中老年女装,,,,,https://shop60943365.taobao.com,,,21199.00,北京,秋冬女装,,4.78792分,0.15%,4.82444分,0.23%,4.82584分,0.33%,,,,,,,,,,
64,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao亿合园"，"点我对话"),亿合园,亿合园女装,,,,,https://shop60365417.taobao.com,,,0,北京,秋冬女装,,4.90374分,53.05%,4.90909分,44.74%,4.90642分,40.81%,,,,,,,,,,
65,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao主给我一颗中国心"，"点我对话"),主给我一颗中国心,美夫人羊绒服饰,,,,,https://shop70838857.taobao.com,,,137222.00,北京,秋冬女装,,4.90196分,52.15%,4.9085分,44.34%,4.92157分,50.35%,,,,,,,,,,
66,北京颐瑞俊达商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao凝望旗舰店"，"点我对话"),凝望旗舰店,凝望旗舰店,,,,,https://shop109921916.taobao.com,,,4045392.00,北京,秋冬女装,,4.95322分,63.22%,4.94325分,66.33%,4.92564分,53.40%,,,,,,,,,,
67,北京艺品倾城商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao艺品莲花服饰旗舰店"，"点我对话"),艺品莲花服饰旗舰店,艺品莲花服饰旗舰店,,,,,https://shop151716490.taobao.com,,,1955835.00,北京,秋冬女装,,4.89933分,20.85%,4.85111分,11.67%,4.85956分,11.98%,,,,,,,,,,
68,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoseven_rkzk"，"点我对话"),seven_rkzk,妈妈咪呀1号店,,,,,https://shop104758371.taobao.com,,,12031.00,北京,秋冬女装,,4.79908分,2.00%,4.82679分,0.18%,4.83834分,0.10%,,,,,,,,,,
69,北京巡游者投资管理有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao帝柔女装旗舰店"，"点我对话"),帝柔女装旗舰店,帝柔女装旗舰店,,,,,https://shop107902129.taobao.com,,,0,北京,秋冬女装,,4.86011分,0%,4.83933分,4.69%,4.85384分,8.40%,,,,,,,,,,
70,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao天天穿衣"，"点我对话"),天天穿衣,哥弟阿玛施女装总店,,,,,https://shop152076630.taobao.com,,,61070.00,北京,秋冬女装,,4.93744,69.47%,4.93887,62.81%,4.95702分,72.79%,,,,,,,,,,
71,北京娟云锦商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao娟的绢旗舰店"，"点我对话"),娟的绢旗舰店,娟的绢旗舰店,,,,,https://shop106869529.taobao.com,,,1799652.00,北京,秋冬女装,,4.92324分,39.65%,4.89899分,40.08%,4.88763分,29.58%,,,,,,,,,,
72,河北创想羊绒制品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao旭凡绒都旗舰店"，"点我对话"),旭凡绒都旗舰店,旭凡绒都旗舰店,,,,,https://shop211315658.taobao.com,,,9326028.00,北京,秋冬女装,,4.92547分,41.39%,4.91304分,48.42%,4.9441分,64.97%,,,,,,,,,,
73,东尚服装股份有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao米尚官方旗舰店"，"点我对话"),米尚官方旗舰店,米尚官方旗舰店,,,,,https://shop69148248.taobao.com,,,0,北京,秋冬女装,,4.96226分,70.32%,4.9434分,66.43%,4.96226分,76.35%,,,,,,,,,,
74,北京子潇一微商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoawaylee官方旗舰店"，"点我对话"),awaylee官方旗舰店,awaylee官方旗舰店,null,,,,https://shop275656255.taobao.com,,,381180.00,北京,秋冬女装,,4.97414分,79.67%,4.9569分,74.44%,4.9569分,72.99%,,,,,,,,,,
75,帝柔国际服饰（北京）有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao卡沃利女装旗舰店"，"点我对话"),卡沃利女装旗舰店,卡沃利女装旗舰店,,,,,https://shop114662493.taobao.com,,,0,北京,秋冬女装,,4.90931分,28.69%,4.88029分,29.00%,4.89117分,31.81%,,,,,,,,,,
76,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao龚冬冬6947"，"点我对话"),龚冬冬6947,玉华鑫服饰 专注高端,,,,,https://shop64082632.taobao.com,,,49477.00,北京,秋冬女装,,4.87165分,37.35%,4.91155分,46.19%,4.90981分,42.90%,,,,,,,,,,
77,济南溪宇商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao溪宇服饰旗舰店"，"点我对话"),溪宇服饰旗舰店,溪宇服饰旗舰店,,,,,https://shop112633754.taobao.com,,,910041.00,北京,秋冬女装,,4.894分,16.66%,4.8055分,0.54%,4.8095分,0.64%,,,,,,,,,,
78,张家港柏香玉商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao歌蜜优旗舰店"，"点我对话"),歌蜜优旗舰店,歌蜜优旗舰店,,,,,https://shop437688117.taobao.com,,,4525.50,北京,秋冬女装,,4.8348分,0.78%,4.7456分,1.78%,4.76419分,1.57%,,,,,,,,,,
79,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao女人衣柜898"，"点我对话"),女人衣柜898,最美妈妈女装店118,,,,,https://shop106044675.taobao.com,,,90218.00,北京,秋冬女装,,4.72796分,-1.40%,4.78637分,-1.02%,4.80445分,-0.78%,,,,,,,,,,
80,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao我美我时尚001"，"点我对话"),我美我时尚001,棉麻舒衣 简约宽松女,,010-82599670,13910736583,,https://shop100433654.taobao.com,,,34514.00,北京,秋冬女装,,4.87847分,40.72%,4.911分,45.90%,4.91866分,48.55%,,,,,,,,,,
81,苏州潮流集电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao索竹旗舰店"，"点我对话"),索竹旗舰店,索竹旗舰店,,,,,https://shop484969758.taobao.com,,,70616.71,北京,秋冬女装,,4.81717分,1.14%,4.7028分,2.66%,4.7259分,2.37%,,,,,,,,,,
82,北京市宗洋制衣集团,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao宗洋旗舰店"，"点我对话"),宗洋旗舰店,宗洋旗舰店,,,,,https://shop103314115.taobao.com,,,1055600.00,北京,秋冬女装,,4.97462分,80.04%,4.95431分,72.90%,4.95178分,69.79%,,,,,,,,,,
83,北京布鲁格蔚贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaohowlstudio服饰旗舰店"，"点我对话"),howlstudio服饰旗舰店,howlstudio服饰旗舰店,,,,,https://shop517353005.taobao.com,,,675757.00,北京,秋冬女装,,4.91781分,35.38%,4.90411分,43.12%,4.91781分,48.49%,,,,,,,,,,
84,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao泽哥6979"，"点我对话"),泽哥6979,苏雅加大码女装,,,,,https://shop106658009.taobao.com,,,54657.00,北京,秋冬女装,,4.90909分,55.63%,4.91983分,51.23%,4.92893分,55.00%,,,,,,,,,,
85,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao梓山苑"，"点我对话"),梓山苑,玖镹精品,,,,,https://shop347827604.taobao.com,,,3825.00,北京,秋冬女装,,4.83824分,21.10%,4.86765分,19.54%,4.85294分,6.98%,,,,,,,,,,
86,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaojkchuanzhang"，"点我对话"),jkchuanzhang,贝利嘉尔,,,,,https://shop58632119.taobao.com,,,0.00,北京,秋冬女装,,4.77665分,0.39%,4.81215分,0.49%,4.81601分,-0.54%,,,,,,,,,,
